,title,rating,pros,cons
29,"""Depends on the area""",4.0,Life work balance is good.,"Management could be bad, low pay"
30,"""Come work at this diverse and rewarding Firm""",4.0,"Benefits, Flexibility, Remote work, Diversity, Community outreach",Some challenges with upward movement due to location
31,"""Citi as an employer""",5.0,"Co-operative enviornment, team  players, encouraging positive contributions","Conflicting priorities,  xxx, yyy, zzz,"
32,"""Save your mental health.""",2.0,Good pay and opportunity for bonuses.,"I cannot stress this enough- TERRIBLE management, terrible work hours (often they offer you can switch shifts when you perform well but it is still impossible), discourage employees from actually helping card members but rather focus on metrics, no team work, the list goes on. Anyone reading this, please protect your mental health and run the other way! The only reason this company pays well is because of the excessive stress."
33,"""Good training program""",4.0,Good training for college grad out of school with structure,Work/life balance needs work at junior level
34,"""Great Company""",5.0,"It is a call center job, collections specialist. It’s a bit tough to get used to being on the phones 8 hours a day, however the company is great. The starting pay is almost twice the minimum wage in my area, benefits start from day one AND are better than any company I’ve ever worked for. From bonuses that are easily obtained, medical, dental, paid vacation &amp; sick time, FMLA, short term disability, paid maternity AND paternity time....it’s wonderful. Constant promotion opportunities.","Being on the phones, and lately changing managers every 2 months...whom all have different requirements that can make you fail Qualities."
35,"""investment banking""",2.0,"great technical skills, deal experience",extremely long hours and tight deadlines
36,"""Associate Role""",3.0,"Global opportunities, great network, good co-workers","Fragmented decision making, bureaucratic processes"
37,"""Good Compensation, no career growth""",3.0,"Good Compensation
Good Culture &amp; Values","Career Advancement 
Work &amp; life balance
Management
Employee Recognition"
38,"""Don't work in the Branch.""",2.0,Good pay and good benefits,"Micromanaging Boss, Sales Target stress, old Technology, Entitled Clients"
39,"""Good for gaining experience""",4.0,"Relaxed work environment
A lot of resources and helpful team members",Some old legacy code base
40,"""Good place""",3.0,"People, work life balance, interesting work",slow movement for career advancement
41,"""This job will be made by your team""",3.0,There is room for growth in the company and they strongly prefer to promote from within. you are only able to work within banking hours and you cannot take your work home with you.,"it is extremely corporate. there is no flexibility for anything, systems and technology are terrible, and you are often asked to pick up other peoples slack or do things outside of your job description and do not get recognized or paid for it."
42,"""Good pay""",5.0,"Good pay, good working environment, good benefit",relatively slow development. not too many internal opportunities
43,"""Na""",2.0,Lot of opportunities to learn,Too much work and stress
44,"""Toxic work culture, Ever changing priority, Inffective leadership""",1.0,"Compensation, location, accessibility, there is nothing else","work culture, work-life balance,  churn rate, leadership"
45,"""COB &amp; Crisis Management""",4.0,"Infrastructure, security, compliance, controls, business continuity and leadership role",Lot of lay offs and changes at leadership levels
46,"""Working experience""",5.0,Good Employees and great benefits,Communication with upper management. Citi never sleeps!
47,"""Bank Teller Experience""",4.0,There is a lot of room for growth and its a great company to work for (on the retail side) if you only have a high school degree.,They expect you to reach your goals and refer constantly but the compensation for referring clients after reaching your goal is not the best.
48,"""Great company to work for""",5.0,It's a great company to work for. I have learnt a lot here and senior management is very helpful.,No cons so far. (I have been here for less than a year)
49,"""Senior equity markets employee""",2.0,Lots of resources and  reach of the firm. Great brand recognition. Lots of good people.,"Extreme, irrational cost-cutting has taken hold and is stifling ability to compete. The second half of 2019 was very tough after big layoffs and the business performance continues to suffer as a result."
50,"""Review""",4.0,Brand recognition / Career Opportunities,Financial Institution / Varied work loads
51,"""Job Growth""",4.0,Great company to work for with great benefits,More job growth and ways to easily move up on the company
52,"""Good place, wish they paid more""",3.0,Has great benefits and its very flexible,pay is awful. they need to pay what other banks pay. They have not increase an exempt salary is a very long time. Yet they will keep increasing the no -exempts
53,"""Stubborn""",1.0,"Pay, vacation, promotion, disability, benefits",Harrassment and negative treatment
54,"""Corporate Research Specialist""",5.0,Big bank with opportunities and flexibility,Silos and boring work and hard to change
55,"""Very mean""",1.0,None to think of at the moment,Very rude scheduling etc etc
56,"""VP working in New York (Technology area)""",4.0,"Flexible schedule ,Work life balance ,Free training for self development,Good Work culture","Too many processes to follow
No growth in the tri state area"
57,"""employment""",1.0,exposure to various roles citi,people in the office tend to scream and express themselves falsely. there is no growth as your bosses do not come in office at times
58,"""Decent""",4.0,"location, package, benefits, global presence",nothing specific compared to the rest of industry
59,"""Nice""",4.0,"Work remote, vacation and diverse people to work with, good work/life balance","Lack of environment, everything moves really slow and it takes a long time for things to get done"
60,"""Nice""",4.0,"Work remote, vacation and diverse people to work with, good work/life balance","Lack of environment, everything moves really slow and it takes a long time for things to get done"
61,"""Great benefits, difficult customers""",3.0,"Great pay, great benefits, lots of paid days off.","It can mentally get to you to have customers screaming swear words at you all day. Than than managers telling you that you didn't do it good enough, even though you didn't ever give any of what you were getting back to customers. Also calls are timed, so your goal isn't really to resolve the issue, it's to just get them off the phone as quickly as you can."
62,"""Hard to get things done""",2.0,Location is very convenient to traffic,There isn't any true team presence and its very difficult to get things done
63,"""Great Company""",4.0,Great mobility within the bank,Management at times can be lost
64,"""Great place to Learn the ropes""",4.0,Ability to work on interesting projects,Needs to catch up to rest of industry in digital space
65,"""Great benefits and competitive pay, but limited growth opportunity, no trust, and challenging environment""",3.0,"Great benefits, competitive pay, professional environment","limited growth opportunity, challenging bureaucratic processes, limited trust and empowerment, less commitment to work/life balance"
66,"""Stable place to work""",4.0,"If you are at the VP level, life is good and secured.","Less than VP, your job can easily be outsource"
67,"""Good company to gain knowledge""",4.0,Lots of opportunities in a giant global corporation,Sometimes you as an employee gets lost in the massive number of employees
68,"""Good until 2020""",3.0,"Insurance, time off and other benefits","Not flexible, trying to push us out."
69,"""Decent Pay, Trash Culture""",2.0,The overall compensation is said to better than other bulge bracket banks. Compensation is good for analysts extended or promoted. Disrespectful comp for those leaving after year 2.,HR is not structured as well as other banks. Major diversity problems within IB despite promotions of Mark Mason and Ray McGuire. Culture at other banks are known to be significantly better for employees regardless of race/gender.
70,"""Lackluster Company""",1.0,There is a 6% match on 401(k),"Pay is low for the industry, raises are very meager as compared to the offices in NYC/London. Work/life balance isn't great. Health insurance is subpar for the industry. The technology is frustrating for everyone and there is no effort toward improvement."
71,"""they treat you like crap and work you to the bone""",1.0,no pros all cons bad place,everything is con no pros
72,"""CitiBank can't promote like they say""",3.0,Good benefits are great for the family.,No room for growth
73,"""Great Company retains and develops talent""",5.0,"Development opportunities, professional managers and peers, compensation and benefits","Internal transfer opportunities, technology issues"
74,"""AVP""",5.0,"Benefits, pay, internal promotion opportunities.","Dept downsizing, restructuring with direct employee impact"
75,"""Good Starting Point""",2.0,"Being a large bank, Citi has the resources to offer training in AML that sorta starts from the ground up, meaning you can walk in with no real knowledge of the field and walk out after several weeks with a working knowledge of basic typologies, red flags, and mitigating factors. Most of the people in my class had no banking experience and a few of us (myself included) had no degrees. The vision, dental, and health insurance were also great. Overall, if you're wanting to get started in AML and Citi is hiring, this is a solid place.","During my tenure, there was 1 major layoff which left half the floor without a job. As a monolith, Citi doesn't value the employees in ""non-revenue generating"" departments and we constantly got the fact that we don't bring in money thrown in our faces when we asked about when contractors would become permanent. Ultimately, the company has a culture problem. The employee engagement events were not accessible to people with food allergies or intolerances, which may seem like a small consideration but it's such a punch to the gut. Citi also has a habit of hiring a whole bunch of temps (sorry, contractors) because they got into a case backlog, then firing them once they're in the clear. This is a terrible business practice and ends up not only harming people but also produces shoddy work that just has to be cleaned up later. Rinse, repeat. For those select few of us who remained, opportunities to move within the company (either in AML or the bank overall) were frozen out. It led people to feeling stuck and angry and unheard. When I left, morale was at an all-time low and the department was hemorrhaging people. Like I said:  rinse, repeat. That's not even touching on the QA process, or how new processes were implemented with seemingly no forethought."
76,"""Good""",5.0,Benefits  parking management daycare pay,The Schedules were first come first serve
77,"""Kind of Stale""",4.0,Nice People to work with,Low Salaries and sub-par benefits
78,"""Great company""",5.0,"Great environment,  pay, benefits","Long hours sometimes, training was intense"
79,"""Citi has opened many doors for me to grow professionally.""",5.0,"The people are Citi’s greatest asset. I’m my experience, the work environment is professional and my management team has been very supportive.",Our tech is way behind
80,"""Typical call center""",1.0,Time in between calls.,"Almost every else, as far as taking days off it’s an extremely complicated system based off company needs and/or the volume of calls.  The option to take time off is there, but you have to know how to use it. It gets very tedious and ridiculous having to explain to customers(Home Depot credit services  demographic is generally  older people w less experience or less access to technology)  how to access their credit accounts 7 different ways. The issues with the credit website and logging into accounts just to access their statements seems to have been persistent with about 7+ months ongoing according to many customers. How do you explain to a customer they were notified they had an account that was opened up under their phone number  with a different name, that there’s nothing we can do about the endless notifications these people are receiving on accounts they don’t even have open! In all, very simple little things  can be done, especially with a company 207 years in the making. At the end of the day YOU are working your HARDEST for a company that is profiting off you, paying not even a livable wage for a job you’ll be spending more time at than your own home. The delightful customers you do get to speak to absolutely do not outweigh the amount of disgust some people bring to your day. It’s very quick to bring your positivity to an all new low."
81,"""Tough Culture""",2.0,Decent technical experience as a foundation,Lots of pitching for business
82,"""Typical corporate environment good pay""",3.0,"good pay,  good benefits, nice laptop",a very typical corporate environment
83,"""Best part was being able to put Citi on your resume.""",2.0,"Name recognition.  Having Citi on your resume will have other recruiters calling you up for interviews.  
On-site cafeteria.
Steady schedule with no work/life balance issues.","I worked in their Global Screening Operations department, and it was one of the most mundane jobs I've ever had.  The job description made it seem a lot more appealing, so I fell for it.   The work was extremely monotonous, and basically anyone with half a brain could do it.  You don't learn anything of true value from this position.  
It honestly felt like a trap, because since you don't learn any sought-after skills, it's extremely hard to land a higher level position in another department, let alone landing an interview with them in the first place.
There's virtually no team morale since management does not promote team activities/outings. 

Most of the AML departments at the Tampa campus are volatile, and there were some structural layoffs during my time there.   This was a major turn off to me because it didn't seem like there was a difference in job security between a full-time employee and a contractor."
84,"""Ok if you like phone work""",2.0,The trainer was pretty good,Managers can be  fairly punitive. There are very few opportunities to advance but they tell you that there are lots.
85,"""Strict roller coaster""",1.0,Plenty of overtime during peak season and listen to music,"Lock box environment so you can listen to music but only on outdated technology like a CD player, stand or sit for long period of time and breaks are discouraged because you have to constantly hit your numbers."
86,"""Good Firm, Groups are Hit or Miss""",3.0,"Good name brand on resume.
Great bank overall.
Ability to work with many other teams in the bank.",We don’t win deals and do a lot of work for free.
87,"""Tampa Campus""",5.0,"Promotion opportunities, work from home available",Work life balance can be challenging during busy seasons for certain roles
88,"""It's who you know, not what you know.""",3.0,They claim work life balance and diversity are important,"The work horses carry the majority of the load and possess most of the expertise but they are not treated equitably; Not in terms of compensation or the way that some ""managers"" act towards the people below them."
89,"""Good place to begin career""",5.0,"Collaborative environment, rotational sales and trading program",Headwinds facing the business going forward
90,"""Good""",5.0,Perfect  perfect perfect perfect perfect,None I can think of
91,"""Citi Review""",3.0,Great Benefits with time off and flexible schedule.,Not great as far as moving different departments or advancement. Typical corporate micromanagement
92,"""Lots of opportunity if you seek it, limited opportunity if you don't""",4.0,It can be whatever you make of it,Technology employees are not treated as well as the competition on the street
93,"""Good company""",4.0,Great pay and development,Horrible management and C in CITI equals change
94,"""Work life""",5.0,"Fantastic , innovative , encouraging peers Lots of scope to learn and grow",I only have good things to say about Citi .
95,"""Good Salary, Bad Training""",3.0,"Paid Holidays, great staff and coworkers, good benefits.  Competitive salary","Commission is very difficult to make.  Very Bad training, while the teachers were great.  Not enough time went to training when it came to operations.  Upper management seems to care only about numbers and not its people.  I work in Manhattan, and while my manager is great and the area director is great, management above that only care for numbers.  The job description can ""change"".  Now we have to telemarketer all the time calling clients and trying to get them to come to the branch.  If there is no sale opportunity with a client and its just a servicing the expectation is to get them out as soon as possible."
96,"""Not a good place to work""",1.0,Vacation time 401k. That's about it,No promotion based on merit. Only who you know or how well you interview . Micromanaging.  Team leads should not be in management.  Unequal pay. Hostile environment.  Many more  to many to speak of
97,"""Whew!""",2.0,"Benefits great, vacation time plenty, great team",Constant changes and inconsistency. No room for growth
98,"""Opportunity to have voice heard across organization""",4.0,Global opportunities to influence change and provide impact to the business.,Lack of career specific guidelines and road map at all levels leads to stagnant growth despite many opportunities available across global organization.
99,"""Good place to work if you can stick with it""",4.0,"benefits, volunteer opportunities and ease of moving up",Most have to start on the phones which is not fun nor easy
100,"""Ehhh""",4.0,Will work with you with almost anything training was good.,To loud for my taste.
101,"""Just started here""",5.0,So good so far.,No cons at this time.
102,"""Managers have absolutely no INTEGRITY""",1.0,You bond with your co-workers and everyone helps each other out to the best of their ability.,This place discriminates against older employees and if you make a complaint to HR the complaint gets totally swept under the rug.  There has been multiple  complaints regarding age discrimination yet it continues to happen.
103,"""Very progressive company""",4.0,"Paid time off, competitive salaries",Constant restructuring while they're looking to cut costs.
104,"""Citi""",4.0,"culture, people, broad exposure, client interaction",lack of constructive feedback from managers and seniors
105,"""Great place to work""",5.0,"Great benefits
Really smart people to learn from",none that I can think of
106,"""Great company to build out your career - but a legacy institution.""",3.0,"-The people. Some of the smartest, most driven individuals who care deeply about the work, and the culture is quite open: people seldom turn down a request for a personal meeting and they are generous with opening up the network to you. So this makes a huge company feel like a small place, which is amazing. Also, people are genuinely kind and empathetic as part of our culture, compared to a place like GS.
-The work. Complex, rich challenges to tackle in all areas from talent to new product development to client experience and innovation, and really smart people you can tap to address those challenges - if you’re bored here, you’re not pushing yourself and you’re probably in your personal ‘comfort zone’. Great intellectual stimulation for those seeking that, and I found that in spades in the business.
-The global reach. Citi has been in many countries for 100+ years, so the relationships with global partners run deep. Few companies can match that know how and this global connectivity is an undeniable competitive advantage vis-à-vis our competitors.
-Benefits. Citi doesn’t pay at top of the market, but the other benefits are very competitive - including paid paternity leave, mental health benefits, and a variety of employee support programs.
-Culture. Always depends on your manager and where in the business you work, but generally trends towards more family orientation and flexibility and work life balance. With new push to the “CitiWorks” model (no one has offices, open floor plan seating, etc.), more people work from home at least 1x week, which means company is moving in the right direction. Also, a massive focus on pay equity, diversity, etc. are huge plus.","-Culture. Yes, there is a less bright side: While people are open, there is  poor change management capability (especially at the senior exec levels) so constant change by mandate is the norm - re-org after re-org and relentless cost-cutting measures and lay offs are the BAU... the result is heavy attrition of talented people and burnout for those who stay.
-Internal mobility. While Citi historically prides itself as a great place to build global talent, the internal recruiting and mobility process is currently broken at best. Jobs often don’t go to most qualified candidates (it’s who you know - the employee engagement survey points to this), the process of applying for a new job internally usually takes several months (and there is lack of transparency/feedback in process, etc.) and if you have aspirations to move internationally, you’re pretty much on your own moving yourself/figuring it out unless you are an MD.
-Slow to change. It’s a 200 year old bank, and the resistance to change runs deep. It is frustrating to see so many people with great ideas and those ideas getting dying in the vine constantly because: 1) key decisions are almost always made by senior leaders (meaning change leaders lower in the hierarchy are disempowered) , 2) company lacks the infrastructure to drive change: poor technology/productivity platforms, procurement processes are impossibly slow, etc. and 3) fear of failure - lots of saving face goes on, creating an environment where failure and experimentation are not welcome, therefore - innovation is stunted."
107,"""large corporate environment""",3.0,comparable benefits to other banks,perpertual cost cutting and downsizing
108,"""Pros and cons like any job""",3.0,Upper management is amazing. Great benefits,Hard to gain additional experience and internal promotion is difficult
109,"""Awesome place to work""",5.0,"Competitive pay, time off, great facilities, dedicated people.",Can't think of any at this time.
110,"""Call Center""",3.0,"Good Benefits
Opportunity to make bonus",Difficult to transition to other departments
111,"""Teller""",4.0,Easy to pick up and understand,Random schedule and working weekends
112,"""stable yet difficult to move up""",2.0,"very good job security, and exposure to a broad range of technologies and skillset","no career path. very difficult to get prompted, it is all about cost reduction"
113,"""good franchise""",4.0,Big company with good franchise,management does not reward employees
114,"""Excellent Company""",5.0,Supportive supervisors and relatively relaxed environment.,Long hours and some obstacles to advancement
115,"""Horrible Infrastructure Overcome by Good People in Select Places""",3.0,"Groups run like small families, which can make the long hours more tolerable.",Outdated technology coupled with an inept change management group.
116,"""No clue on long-term plan""",2.0,"Was able to work from home for most of my 10 years. Thanks to the never-ending layoffs, was able to attain a large number of different skills.","Constant down-sizing and re-organization. Outdated systems. Management merry-go-round where those who have no clue about their team's work are tasked to lead. Pay raises are slim, if any at all (I had 4 out of 5 years where the yearly increase was 0 or less than 1%)."
117,"""Technology Risk Director""",2.0,"Small Teams, High Visibility Generous Salary","Runs very lean team, often over stretched"
118,"""Accelerate growth""",4.0,Great working environment with like minded people globally !,Work life balance during peak season.
119,"""Dynamic Environment""",4.0,Plenty of opportunity  to learn and grow,Work environment is heavy skewed by your die=rect manager with no appeal
120,"""Good Starting Job""",4.0,"Multiple shifts to choose from, relaxed environment, good people",No phones allowed at all. Can get pretty dull.
121,"""Not bad""",3.0,some nice folks to work with,"constant change and layoffs, lack of communication"
122,"""Great place to work, with toxic, hostile environments""",3.0,"Open seating, green company, culturaly diverse, progressive thinking.","Some teams are extremely toxic, and in some cases provide a hostile environment.  Dog eat dog world.  Some managers shouldn't be managers, they should be project handlers, because a manager needs to know how to work with people."
123,"""Great benefits; mediocre employees. Hard work begets buried in more.""",3.0,"Benefits, work from home option, reputation, some managers are nice, many people are personable.","Health care premiums are very high, base salary increases are non-existent (especially, if you are in a non-revenue generating role), employee mediocrity (people ""middle-out"" quickly and do the bare minimum to get by), siloed businesses, lack of central coordination, increased responsibilities pushed into the business without compensating resources."
124,"""AML Compliance Officer""",4.0,Pay equality and good benefits,Lack of communication from leadership
125,"""Risk Director""",3.0,"Pay, benefits, location, updated offices, facilities","Legacy systems, work silos, staff turnover"
126,"""Overall a great place to work""",4.0,"- Pay is at the higher end of the market
- Lots of opportunities to work from home or full remote
- Career progression opportunities are plenty
- A lot of quality training for professional certifications available through udemy.
- 6% 401k match
- 22 days of vacations for VP level and above","- Work life balance has  not been great the last couple years.
- Company is very large and can be very bureaucratic.
- 401k match lump sum at the end of the first quarter following the performance year in which it is earned."
127,"""Where mediocrity comes to work""",2.0,"Salary, remote work, central office location","Expensive healthcare  premiums with little coverage, coworkers who survive by doing the minimal amount of work, open office system that’s noisy and impersonal, too many H1B workers, over 75% of programmers and testers are off shore. So cheap. They cutoff the hot water in the restrooms at my location to save money."
128,"""Citi is awesome!!""",5.0,Great institution to work with,Needs more job opportunity in NYC
129,"""Citi has a toxic environment""",1.0,I cannot really think of a good reason to work here,"Unethical behaviour by leadership 
Nepotism
Toxic environment 
Impossible to grow and advance"
130,"""Senselessness is an understatement. Worst decision ever. Glad I got out. Bought a bridge and a bottle of snake oil.""",1.0,Holidays off. Cool clients. That’s it.,"Recruiters should be charged with grand theft and false advertisement. Call center vibe. Outdated systems. Gross mismanagement by inept managers. Egotistical area directors. Lazy, petty branch pretenders I mean managers that crush the spirits of staff. Littered with cronyism and favoritism. Cutthroat culture. One team ideology is a stone cold myth. DO NOT WASTE YOUR TIME!"
131,"""Great Team""",4.0,"We had Steve Gates as head of North America Design and it was a great time at Citi for designers. I had the pleasure to work and collaborate with a phenomenal team composed of copywriters, information architects,  art directors, and producers.",The building does not have an area set up for designers to work or feel like a valuable asset for the company. It's too crowded and I hear that the current team conditions have not improved but rather worsen.
132,"""N/A""",4.0,Dedicated and collaborative and supportive colleagues .,"Can get pigeon-holed, little chance for advancement,  rigid environment limits agility."
133,"""Very Good place to work""",4.0,Family and work life balance is great.,silos of communication which prevent effective productivity.
134,"""Great Company""",5.0,Great company to work for. Very smart people that encourage growth and allow you to work on challenging assignments.,Hours can be unpredictable at times.
135,"""Human Resources - Payroll""",4.0,Great benefits and diverse community.,Good supportive managers are hard to come by.
136,"""It's a job""",4.0,Great benefits and great office space.,They could pay more competitively.
137,"""Citi is Bad at  bonuses""",3.0,"Great place to work at
global presence.","little or no bonuses
Zero transparency"
138,"""Worse Company""",1.0,decent benefits although they do not pay for dental.,This is the worse company I have worked at and I have worked at many different places.  The Operations in Jersey Citi is just trying to cut cost and will lie to you.  They are moving jobs to Tampa and are not upfront about it. Management does not care about employees as was never had one talk about career advancement. The moral is low and management just cares about its own jobs.
139,"""Good place to learn""",3.0,"Learning, people are friendly and helpful","Political, you will be more rewarded based on politics than your scientific knowledge"
140,"""Overall""",3.0,Flexibility and you get to meet some great people,"Lower comp and sometimes limited room to grow, depending on your group."
141,"""Citi Life as a Product Owner""",3.0,Fast pace and great experience,Company politics can prevent you from moving up fast enough
142,"""As close to perfect as you can get""",5.0,"Great management, very accommodating.  Understanding upper management and amazing pay, plus bonus opportunities","Coworkers and non stop complaining, also bad overhead lighting"
143,"""Do you like people?""",3.0,"Time off and benefits are amazing
Pay is okay.
Some managers are amazing","It's a high school.
If you hate people this place is not it for you. You're on the phone for customer service and people are hateful."
144,"""Honest Review""",4.0,"People
Work/Life Balance
Various Technologies
Promotion Opportunities","Too many changes in strategic directions
Bureaucracy"
145,"""Quantitative Analyst""",4.0,Good work-life balance for middle-office roles. Good culture. Friendly People. Good 401 K matching (6% of eligible pay).,Medical insurance is more expensive than other banks. Low tuition reimbursement (Only $5500 per year)
146,"""good""",5.0,good pay and people are nice,can be a little bit operational
147,"""Great Place to Learn""",4.0,plenty opportunity to learn and advance,typical large company bureaucracy
148,"""Nice company""",5.0,Relax environment and friendly colleagues,"Big company common issue, not very flexible."
149,"""They are out for the buck""",1.0,"Decent health, and vision contributions, but not the industry best.",Management has no clue of what they are doing.  Micromanagers at their finest.
150,"""My time at Citi""",3.0,Treated professionally and with respect.  Good salary and benefits.,Too many silos and not consistent in following PMO procedures.
151,"""Great company to work for""",5.0,I liked working for Citi. They really appreciate and recognize your work. There are so many opportunities to build your career and move within the company. Benefits are very good.,The pay could be a little better.
152,"""Slowly becoming more progressive, but the culture is still rigid""",3.0,"Real glimmers of hope on pay equity, equal representation
Generally strong ethics
Smart and committed people trying to do their best for clients and each other
Good, strong messages about culture and values
Good career mobility","Still a fundamentally hierarchical organization
Territorial executives building empires within the empire
Despite the FinTech threats, still conservative and slow in technology innovation
Terrible meeting and email cultures
The culture &amp; values promoted by execs &amp; HR don't feel entirely authentic and don't quite trickle down"
153,"""Awesome opportunities""",5.0,"Citi has great benefits, care about employee development and work life balance",It’s a great place to work
154,"""Not good for new mothers""",1.0,Benefits are good and the location.,"Overtime and weekends and they expect everyone to be logged in all the time, even on a vacation. There is never someone to cover so you’re still responsible for your work even when you take time off. Very bad for new mothers. I was basically forced to resign because I couldn’t work more than 9hr days even though I have an infant. 
The manager would not provide feedback on accomplished assignments so it was hard to conclude what was done accurately and what wasn’t. But then it would be in a poor review. They used all kinds of tricks to give me a bad rating so that I would resign when I became a mother."
155,"""Excellent""",5.0,"Career mobility, Benefits, Global institution",Software i.e  too many CRM platforms
156,"""Private Bank""",5.0,Good people who do good things,Archaic industry and bad timing
157,"""Good people generally except many senior mgmt dont care about people""",3.0,"Work/life balance, smart people, pay can be good. Some realy nice people below?senior?levels.","Benefits contributions are crazy high if your title is even moderately senior ($1000+ / month),  you never feel much job security... seniors think nothing of slow rolling layoffs or transformations for years while everyone fears for their jobs. Reviews are bizarre because managers have to submit ratings long before any conversation with directs... so no possibility of convincing boss to improve rating.
Bonuses seem barely related to performance. So you can do a great job and not be recognized much more than someone who barely contributes."
158,"""Great culture with supportive management""",5.0,"- Collaborative culture
- Mobility in roles / geography
- HR very supportive and great onboarding","No cons, keep it up"
159,"""Flexibility""",5.0,"Time off, flexibility and culture are the pros","Work life balance is tough, long hours"
160,"""Brandon office""",3.0,"raining opportunities, love living in Tampa, FL","Off site locations, small/no raises, bonuses, profits only go the top few, salary inequality"
161,"""Good environment.""",5.0,"Challenging, fast paced and exciting.",Nothing in particular about Citi.
162,"""Not worth the aggravation""",1.0,"benefits, medical, 401k, not much else","from management to entry level, very toxic environment"
