,Unnamed: 0.1,title,rating,pros,cons,company
39,39,good compensation but the job is horrible,1.0, after more or less a year i was making 16 per hour.  work on any weekend day was paid with a premium and overtime was consistently available.  thus making 45k a year on an entry level nodegreerequired customer service job was entirely possible.  pto  floating holidays amounted to 20 days off per year.  generous 401k., management is a joke. every week everything changed with new guidelines that directly contradicted previous ones being implemented without notice or training.  some of the managers and team leads should look for psychiatric counseling. their negative energy is palpable.  everyone desperately wants to get a job elsewhere but the ok pay and the good benefits are a factor. so a lot of people stay even hating what they do.  most hotel ownersmanagers actually despise working with booking. some feel scammed by it others are unable to understand andor learn how the site and the interface work. its mostly not their fault as everything is overly complicated and technically cheap. but their bitter dissatisfaction with booking eventually contaminates most calls and the job becomes excruciating.,Booking.com
40,40,i actually miss it a lot,5.0, i got to meet and talk to so many different people from all around the world  literally on a daily basis it was truly fascinating.  the other booking.com staff are excellent and always quick to assist you when you need help huge shoutout to the seniors their jobs are arguably the hardest  browsing the booking.com website itself while assisting guests on the phone has truly instilled in me such a powerful desire to travel to as many different places as possible in the foreseeable future not just in my own country but in every other country, this is more of a personal con but sometimes dealing with the overly negative and hysterical guests was difficult and often triggered my anxiety. if you suffer from the same issue then you may need to find a way to deal with it while under pressure  and sometimes there is a lot of pressure.  sometimes it was difficult to maintain a good set of metrics i struggled the most with receiving positive customer satisfaction surveys back  but this only is because i had trouble with pushing for the csats and encouraging guests to fill them out. if you just get into the habit of pushing the surveys then you have nothing to worry about  this may have been exclusive to the location i worked at but there wasnt a lot of recognition from management for the agents who worked harder and went above and beyond to deliver that authentic wow experience to the guests. my locations management in particular also really struggled with keeping their favoritism under wraps and it made some of the agents feel left out and unimportant.  agents at my location also did not receive the pay for performance when it was rightfully due to them. again  this was only an issue at my particular call center.  disclaimer most of these cons only apply to the location i worked at. the location i worked at was a thirdparty outsource and was not an actual booking.com location. i am not educated on the condition and atmosphere the actual booking.com call centers but i imagine that they were significantly better. the agents and seniors from the other sites that i got to speak to were wonderful and very easy to work with. the positive ratings found throughout this survey apply only to my experience with the people employed at the official booking.com call centers.,Booking.com
41,41,had potential then it ruined itself.,2.0,pto pay free fruit multicultural coworkers,management work environment favoritism stress internal politics,Booking.com
42,42,stay away,1.0,the office is nice. thats about it.,everything stay away. management is horrible high school environment constant changes taking benefits and salary away for newer employees. huge turn around people constantly quitting or getting fired.,Booking.com
43,43,get out while you can,1.0,i guess the amount of free food,management is awful the pay especially for san francisco was barely livable. never recognized for good work no individualism one team one goal so people who are slacking get just as much bonus as you,Booking.com
44,44,great place to work at,3.0,good pay for what you do,too many politics and micro managing,Booking.com
45,45,stressful job.. great coworkers,4.0,quarter bonus occasional free meal and treats good management.,stressful meticulous work ethics structured environment. irrational expectations.,Booking.com
46,46,good customer service job,3.0,good benefits including health and hotel discounts.,work is not fun in a call center.,Booking.com
47,47,its good to work there but after 2 or 3 years it could take a toll on you mentally,4.0,they have good salary pto and benefits. some of the managers are great but not all of them.,after a while you burnout,Booking.com
48,48,an ok company,3.0,great if you are student in need of work,management can be to demanding,Booking.com
49,49,amazing coworkers with warm hearts,3.0,i absolutely love and respected the people i worked with at my site it was a very diverse and fun uplifting environment especially it being a call center so everyone spoke different languages with lots of delicious potlucks and laughs. there was definitely a family vibe and that is 100 because of the individuals at that site. i will always be grateful for the incredible people i met while at booking.,this may have changed since i finished my time...but not a lot of opportunities to growth within the adminpeople team department because it is quite small. specifically on peoplehr team within leadership there is lack of diversity i.e no women of color leading lots of gate keeping with information and lack of transparency when people were let gofired etc,Booking.com
50,50,great place to work,5.0,the people  the opportunities  the support  the environment ,its cold in here lol,Booking.com
51,51,diverse setting but company slowly becoming less desirable to work for,3.0,diverse and friendly work environment not scripted dialogue not forced to sell anything. great benefits yearly gifts bonuses,management is not realistic as far as the expectations put on the employee number system they use to represent employee standing is quite flawed company becoming more robotic and less concerned about employees pay raises are a bit low managers say they are forced to mark employees as needs improvement even if they are doing well. managers are not qualified and do not know the job so they set unrealistic goals and expectations for the employees no sick time off so if you get sick be careful with planning a vacation,Booking.com
52,52,going down in flames,2.0,will give you call center experience use it to find something better  your peers are very friendly and you will learn alot from them benefits are great,when i first arrived at booking.com it was a really up and coming job in the orlando area. the pay was really great for the work you did and the metrics where very attainable. it was a fun atmosphere and there was a family kind of vibe that you got at work. in the last year this changed drastically but it seemed to be only the us offices. the disregard for the csp department is honestly disheartening. due to the fact that we are not unionized we do the busy work of 5 departments and growing. we have to deal with upper management mistakes and then have it adversely affect our satisfaction score while still being held responsible. meanwhile whoevers mistake it was gets to say my bad this is not an exaggeration this actually occurred. they do an awful job of keeping up with competitors as far as platform options and i am not quite sure who their programmers and developers are but they do an awful job. the site will have a major crash once a month and its riddled with bugs they are slow to fix or just never do. you are informed in the beginning that there are quite alot of changes. this is true and to be expected but this also does not just mean changes to procedures. you will have a new team lead a new desk a new seating area every three months. the most impactful of these is the team lead aspect as this is the person to help you with your metrics and development to grow in the company. one day you will have a great team lead that wants to help your grow and the next you have some new guy that is just stressing over metrics. the comments about favoritism in promotions is very true but with the number of people honestly growing in the company as they promise you is not a possibility. lastly upper managements csms expectations are contradictory and expectations are unreasonable.,Booking.com
53,53,if it looks too good to be true... it probably is.,2.0,quarterly bonuses that can range from 0 to 8 of the quarterly salary based on performance. set days off. compensation time for working holidays.,too many changes all at once. unattainable key performance indicators. no recognition for anything positive only reprimands for bad months. management continuously increases work load and training needed without a pay increase. in all worthwhile jobs the more experience qualifications or skills needed to do the job the higher the compensation. this does not happen at booking.com especially in the usa. thankfully canada and europe are protected by unions however the customer service offices in usa get bombarded with work for the same pay. nonexistent advancement opportunities. no matter how much experience you have or how well everything goes the hiring teams will always have someone already set for the position before opening the application. 99 of the employees have no chance to move up without being constantly in a hiring managers or influencers business. if you work on the customer service partner side you are a second rate employee. always the afterthought and always paying for the mistakes of higher up.,Booking.com
54,54,under paid for seattle market,3.0,travel to amsterdam to headquarters,under paid for seattle market. dutch company tried using dutch salaries.,Booking.com
55,55,good benefits no space for growing,2.0,good benefits and perks and good chances of overtime,they tell you the sky is the limit on the training but the reality is having no space for going anywhere,Booking.com
56,56,call center with some perks,5.0,great benefits pay is not bad 10h shifts 4x a week overtime possibility,its still a call center paid time off is unfair if you work 10h shifts,Booking.com
57,57,great company,4.0,great culture and work environment.,at this time i am happy with my employer.,Booking.com
58,58,account manager,3.0,great benefits amazing offices learning opportunities in different offices cool swag lots of healthy snacks in offices and more,booking north america does not live the culture as it is in europe. offices have favoritism 100 if you dont kiss on people the moment you arrive with the area manager or your manager you wont grow anywhere. friendship gets in between the jobs and people dont get what they want cause they deserve it more so because they knew who to connect with to make it there. if you complain with hr regarding these serious issues nothing will happen because again favoritism takes place. in other words booking na is pretty corrupted. if you say the truth of what is happening trust me you will be hated and theyll do anything possible so you quit.,Booking.com
59,59,its good,3.0,free fruit  vegetables flexible hours benefits,team leads pick favorites all the time,Booking.com
60,60,good benefits fake family environment,3.0,free food free coffee location is convenient. chill environment. pay is decent only if you work the night shift where you can get paid almost up to 16.50 regular pay is 14.25. if you do ot your checks can average about 15002000 a week but of course thats working 1012hr shifts 56 days a week. it starts out wonderful. the first two weeks of training they make you do for the first part of your position customer service guest executive. they are very hands on but only give you about 10 of information for you and then send you out to the floor for a month.,if youre not used to customer service working in a fast paced environment or used to teaching yourself you are thrown to the wolves. while there are plenty of employees around that could help you are assigned to a specific team and if people dont know you they make it seem like youre a bother to them. i unfortunately was 1 of 6 others who were not assigned to a team once we officially started. we were all placed on different teams as foster kids as they called us. the team i was put on were only there for about 2hrs of my shift i worked 5pm130am and by then everyone was gone. who did i have to ask for help all those hours no one except the other 3 girls who also had no team or we had to call the senior line religiously to make sure we were doing things correctly. we all had to help each other get by and figure things out. a month later they bring you back for two more weeks of training to be a specialist and you learn more about the things you couldnt work on as an executive. the third month they finally hired a team lead and i was assigned but they did not start to actually coach me on things until halfway through the third month. this place likes to talk about being empowered and lifting people up but it has a very fake family corporate feel. promotions are given to those that are loyal to management. if management doesnt like you theyll set you up for failure to create a situation where they might have an excuse to terminate an otherwise great employee. i was fired by someone in the company who i was friends with on social media and they reported my posts about celebrating my success for completion of training with the company and also several praises i received from guests as well. whatever jealousy or personal vendetta they had against me worked. of course the company wont admit that for the persons protection but i had made those posts months prior and i had recently not had good relations with the person who reported me. i have never worked for a company that disciplines people for celebrating success with the company they work for. my advice use this as a stepping stone to increase your customer service and problem solving skills. unless you are a teachers pet and fit in with the high school clique feel by all means they will welcome you with cake and cookies...literally.,Booking.com
61,61,some potential,1.0,i think the company has great values and overall they have given me the opportunity to acquire more experience in the industry.,defenetly management needs to either be replaced or they must receive extensive trainings on how to interact with employees how to be fair with everyone. you do not get promoted unless you are friends with someone. they hire people that do not qualify for leadership roles just because he is a friend.,Booking.com
62,62,empowering people to experience the world,5.0,booking.com is the leading digital travel company dedicated to supporting millions of customers around the world avid travelers who are eager to book their next destination. the working environment although it has changed and evolved a lot from a startup environment 7 years ago when i joined is amazing to see the growth and progress that takes us here and what excites me more is the opportunities ahead from artificial intelligence investments in tel aviv to our customer care centers across the globe we are a global company but locally relevant. internal benefits include health plan pto and for me the most imporant a lot of investment in learning amp development with annual benefits that could be used towards your development through internal or external courses. the work environment is also very rich with different backgrounds and professionals from different areas that compose a rich and diverse culture.,we have been through changes kind of a growing pain which is necessary to keep the company competitive in a changing landscape of global tourism. if you are willing to accept change on a day to day basis this is definitely a place to be,Booking.com
63,63,great company,5.0,flexible schedule  paid holidays  great benefits  opportunity to grow,customer service sometimes gets so hard when dealing with difficult people,Booking.com
64,64,easy brainless work,4.0,very automated and systematic. easy to get adjusted promoted if you want to. great place to be when you are figuring things out.,schedule so so can be hard to get a desired shift not impossible though. pay was pretty low at the time 13.75 for start i believe. a very corporate feel...,Booking.com
65,65,easy job long hours,3.0,good pay free food sometimes bonuses,bad management micromanagers customers can be rude in a call center environment,Booking.com
66,66,meh,2.0,competitive salary and nice bonuses,robot like expectations no room for flexibility,Booking.com
67,67,great call center experience,3.0,very good benefits. pto quarterly bonuses. company events.,inconsistent management. preference of certain agents.,Booking.com
68,68,fantastic company the best i worked for,5.0,so many that it is diffcult to name all of them. a lot of benefits the management tries all the time to motivate its employees and to make the job day as smooth and stressfree and possible. good salary good atmosphere possibility to grow inside the company if you really want it and if you are worth it.,the job it is quite tough and you need a lot of resistence in order to stay in the role of customer service for a long time. but it is normal if you want to work for the company leader in the world for hotel reservations you get a lot and you have to give a lot too its just not for everyone ,Booking.com
69,69,good beginning  but dont stay too long,4.0,free coffee good pto policy very flexible,too repetitive and advancing can be hard,Booking.com
70,70,not a bad first job,4.0,excellent pay for an entry level job only 4 day work days good people to work with relaxed environment,long hours with only 3 15 minute breaks terrible break room snacks,Booking.com
71,71,impressions after about four months,4.0,competitive pay and bonuses. health dental vision insurance.,information is constantly changing to the point expectations can be unclear. lack of communication on important hrrelated procedures. favoritism among team leaders. micromanagement.,Booking.com
72,72,benefits are great but management is lacking,3.0,the pay is reasonable. insurance is very low.,all of sudden changes that directly affect your job. management has a hard time being on the same page. lack of internal hiring for higher positions.,Booking.com
73,73,hopefully it has gotten better,2.0,clean and bright work environment lots of cheerful people cool company culture free fruits and veggies,low pay was very low when i was there but may have improved not a lot of career opportunities when i was there one of the worst contacts was regarding overbookings which was a horrible process for both the agent and the customer. literally would take hours and would hurt your numbers. do not be a backup for a language got a 0.25 raise but all of my contacts were for my backup language because of lack of coverage. should have been paid the higher rate as a full time for that language.,Booking.com
74,74,account manager,5.0,fun place to grow and learn. great culture and fun working environment. encourage you to share best practices and support you to take on new challenges. awesome benefits time off and really was a great place to go to work everyday.,limited opportunity to move up without moving around but thats basically everywhere anymore.,Booking.com
75,75,steady decline,2.0,i joined booking.com right out of college. i had the opportunity to travel to 7 different cities and 4 countries while working at booking. 2 years ago i was full of aspirations and goals for my professional career. booking is a great place to begin. you have a great work life balance and flex scheduling. as a credit controller you learn how to negotiate with partners soft phone skills team work and account management. but over the last 2 years that has drastically changed. i made some great friends at booking and most of the people are very friendly.,booking has slowly declined over the last 2 years. management is all about office politics and they only help their favorites. the bonus structure is terrible. for example a top performing employee receives 1 higher of a bonus than an employee that does the bare minimum. management has cut bonuses to save the company money because of the slowed growth. for christmas we did not get a gift or a bonus but rather we received a cookie for our hard work. there are a few managers that will undercut their employees ideas and act as if they are their own for their own gain. they also began taking away our 2 15 minute allowed breaks during the day. booking continues to pay their employees poorly and their are limited opportunities for advancement. the credit control position is becoming more automated and more customer service like.,Booking.com
76,76,good benefits,4.0,good benefits like pto. set schedule and flexibility.,very stressful job poor management.,Booking.com
77,77,good for short term,3.0,good pay for a call center decent benefits and pto. clean office very diverse and the opportunity for overtime.,the bonus structure sucks you have to wait 4 months to earn 500 or 600 before they tax you 33. lots of favoritism information changes daily and youre not given enough time to catch up. 30 min lunches the agents who the hire through outsourcing do a half a job and are not reprimanded for it as long as their answering those calls.,Booking.com
78,78,great company not so good work,3.0,great company managers and benefits,the type of work is tiring,Booking.com
79,79,worse as time goes by,2.0,good benefits free fruit and coffee friendly entrylevel colleagues,the company has declined sharply over the past couple of years. theres little room for growth unless youre a favorite. the management does not hold employees to the same standards and the reviewfeedback system has been changed in ways that allow management to get away with very questionable behavior and with treating employees very poorly in a way that is compliance friendly theyve stripped back more and more of the perks that they advertise during the interview process as time goes on but will not consider feedback seriously. theres definitely a if you dont like it other people can replace you mentality these days. this is not the company it used to be and theres a good chance there wont be a long term improvement in the future,Booking.com
80,80,customer services,2.0,lots of ot. lots of fruits. pay is ok not bad getting better,needs to pay more.,Booking.com
81,81,great,5.0,great nothing wrong good environment,nothing everything perfect nothing to complain,Booking.com
82,82,customer service executive,2.0,coworkers environment parties multiculturalism offices.,salarymanagers culturebenefitsstingy attitude days off.,Booking.com
83,83,positive place to work,4.0,positive environment that focuses on team mentality. weekly groceries lots of perks and parties. flexible hours. travel to fun places.,hard to move up without moving cities. pay is low for the marketposition. they talk way too much about feelings too much hugging. so odd for a large company. they need to focus on your business results and performance not personal feelings about each other.,Booking.com
84,84,great company for open minded travel enthusiast,4.0,great platform to learn things cross countries collaboration. great brand identity,low salary company culture varies a lot between departments and countries. depending on your luck. internal moves really hard and not easy at all to be promoted,Booking.com
85,85,stay away from this place,1.0,free parking provided and the free trip to amsterdam to join the annual meeting, low pay  no personal time  short lunch break,Booking.com
86,86,great,5.0,good money great place to work.,late hours not much else was bad.,Booking.com
87,87,balanced company for the more part.,4.0,pto is pretty good could be a little better smaller office setting in this position you map out your day for the most part pretty flexible when you need to adjust your workday. current managers in this office are super helpful. there are some managers that work well with those that have disabilities that are not physical. can be super fun to work for. the quarterly bonus is amazing thank you for having that. great medical benefits free food and snacks company parties are amazing and a good chance to relax.,started in the call center and they are not always as kind as they appear at first. while diverse they need to work on emotional sensitivity with those that have mental disorders. they do not really show much concern in this area both at the manager level and hr level. us locations are forming more and more like corporate america and losing the fun factor it had when i started. very little structure at this level and no training structure.,Booking.com
88,88,fast speed growth company worldwide,3.0,diversity of culturegood training benefits,no room to grow high level of favoritism,Booking.com
89,89,dont come,1.0,good salary and benefit. good work life balance.,there are too many politics and you need to spend a lot of time on communication.,Booking.com
90,90,customer service guest executive,3.0,onsite gym free coffee and tea free fruit free massage chair lgbtq friendly market place cafe with discounts on healthy food nice break room area desk moves up and down so you can stand you get a locker to store personal belongings,open 247 gr office closes at 230am sharing desks gross no mondayfriday shifts you will work a saturday or sunday no assigned seating you have to locate a desk when you move to new desk it can take up to 10 minutes to get logged in so you should be at work much earlier than scheduled. 30 minute lunches no cubicles loud neighbors on the phones hard to hear because of no desk you dont have basic things on hand youre living out of a bag or backpack. you have to pack up your desk after every shift because you may not sit there the next day. you have to work 6 months on your shift before bidding on another. youre stuck,Booking.com
91,91,fair enough,3.0,good company culture and overall a good environment.,depending in your location and your job then is either good or bad. they promote themselves as high promotion rate though is not true... even with a master in related field.,Booking.com
92,92,fun company,4.0,booking is always teaching their employees something new about the company so you are staying current on whats next. you get to travel to different states for training and visit other offices as well. the office is an open floor plan so you get to work side by side with your employees. the company believe in you being you and showing your personality.,the commission isnt the best but its great to have on top of your salary. being in a open floor office it can get loud at times but you will learn how to tune out your pears and there are small office space to utilize when you need the room to be quiet.,Booking.com
93,93,average,3.0,the co workers are definitely top notch benefits are amazing,management definitely needs help.,Booking.com
94,94,decent,4.0,great co workers and benefits,poor management from some team leads with no training,Booking.com
95,95,nice company,2.0,nice gifts and clean environment,poor management and ok pay,Booking.com
96,96,csr,1.0,upbeat happy environment to the point its exhausting and fake.,low pay unstable hours weekends and holidays mandatory.,Booking.com
97,97,great benefits,4.0,great benefits and pto. provides room for advancement and very diverse.,you get tired of hearing negativity and they dont realized the reason they are not advancing is their negativity. ive also seen some favoritism from time to time.,Booking.com
98,98,best company ive worked for yet,5.0,you are appreciated for what you do the work is easy they expect you to make mistakes and learn from it they are about feedback positive amp negative they always have their doors open most of all you feel appreciated for your work which motivates the want to do more.,none that i can think of,Booking.com
99,99,decent place to work especially if you are bilingual,3.0,good office environment as others mentioned there is free fruit coffee and tea. meals are discounted there are a lot of potlucks and everyone is friendly. i worked there for 8 months and my pay increased twice. quarterly bonuses. if you speak more than 1 language you make more money. they are always busy so there is often overtime availability. also they throw great parties. my office had two yearly parties plus the booking annual meeting which was so fun.,its customer service so you spend all day answering calls and sometimes dealing with upset customers in bad situations. you basically are a middle man and dont have a lot of power which can be frustrating. there are a lot of metrics and sometimes you dont have control over them and of course those metrics affect your bonuses and potential raises. also its a call center so you and your time are always being tracked. i would say there is very little chance for advancement and promotions which is hard if you like to move up.,Booking.com
100,100,good company to work,5.0,the benefits are good the office is really good,they are taking out some benefits,Booking.com
101,101,great company.,5.0,great company to work for. excellent benefits and wonderful staff and managers.,schedule flexibility. only full time positions.,Booking.com
102,102,good company,4.0,good pay environment and diversity,can demand a lot of energy sometimes,Booking.com
103,103,a lot of fluxuation,3.0,work life balance pto create your own travel schedule,direction fluctuates from local to headquarters every quarter. there is no ownership over kpis everything comes from upper management. very micromanaged,Booking.com
104,104,an amazing company,5.0,one of the best reasons to work at booking.com is its culture and values. an amazing place that empower you and helps you to embrace who you are as a professional. the company is always providing trainings to develop your skills. i really love how things changes all the time not everybody likes it but i love it because there is no way to get bored and beside that you are always learning something new and facing new challenges. i love how the company has been structuring its fields all internal tools and work around this to improve. the company does everything go above and beyond to offer the best support ever to partners and guests booking through. benefits are amazing getting a percentage off in bookings help with external trainings and managers helping with pdp.,the company should be more flexible with locations to work and expand some interesting positions to others countriesregions beyond amsterdam. sadly the big annual meeting that used to be in amsterdam is not happening anymore but i hope the company finds a way to keep the cultural exchange and region experience exchange.,Booking.com
